Preprocess,Clusters,Silhouette,Calinski-Harabasz,Davies-Bouldin
No Preprocessing,3,0.4783511411368133,210.15255851630994,0.8895092833674646
No Preprocessing,4,0.3866313675434283,207.8196776373569,0.9543469128085162
No Preprocessing,5,0.36981139162481236,214.50777559989027,0.9102021539764937
Normalize,3,0.20864928772867486,105.0539277981076,1.4600031695297648
Normalize,4,0.04136923754065599,71.55046213620047,9.24258000039714
Normalize,5,0.02884185478684222,70.42580426657375,8.187216457270276
Transform,3,-0.04300221379198272,0.8350320049226174,15.168822479821088
Transform,4,0.016062272849200466,25.946617210132885,6.842540614338502
Transform,5,-0.0007345704951642409,33.73408723668572,7.036884679328526
PCA,3,0.4783511411368133,210.1525585163099,0.8895092833674645
PCA,4,0.3866313675434283,207.8196776373569,0.9543469128085162
PCA,5,0.37183784373404916,214.57513203462366,0.9112828845553148
Transform + Normalize,3,0.18355638134135704,90.89814718178552,1.4606032574627832
Transform + Normalize,4,0.003795852717291785,62.85703727019587,3.870327873087794
Transform + Normalize,5,-0.03609988074617785,48.87478132508746,5.03396219218679
Transform + Normalize + PCA,3,0.18355638134135704,90.89814718178553,1.4606032574627832
Transform + Normalize + PCA,4,0.003911831676754374,62.94196047394472,3.777232677655355
Transform + Normalize + PCA,5,-0.03143097149692136,51.08933696029015,4.14944219047481
