Preprocess,Clusters,Silhouette,Calinski-Harabasz,Davies-Bouldin
No Preprocessing,3,0.3750155190004844,183.35966663071304,0.9782550612936531
No Preprocessing,4,0.3482693265230514,185.25591589024842,0.9700745215574362
No Preprocessing,5,0.35222835905395905,196.95395590977117,0.9106205220145334
Normalize,3,0.21662213732955554,92.2792023304235,1.378498666237179
Normalize,4,0.21670335788942366,70.99751738699146,1.0930994221976562
Normalize,5,-0.03303168624738292,54.190196768137355,3.101912445042225
Transform,3,-0.04300221379198272,0.8350320049226174,15.168822479821088
Transform,4,-0.036142725292937175,16.341253998813517,7.132129860607677
Transform,5,-0.0025587171357312265,33.165686708451744,7.085777162443497
PCA,3,0.3750155190004844,183.35966663071304,0.9782550612936531
PCA,4,0.3482693265230514,185.25591589024842,0.9700745215574362
PCA,5,0.35222835905395905,196.95395590977117,0.9106205220145334
Transform + Normalize,3,0.2157814804067232,82.04260826138649,1.494848260341153
Transform + Normalize,4,0.004451324593877011,55.168038179081734,4.3644084433860595
Transform + Normalize,5,-0.04815124783811978,44.408658962013604,4.361296469227646
Transform + Normalize + PCA,3,0.2157814804067232,82.04260826138649,1.494848260341153
Transform + Normalize + PCA,4,0.004451324593877011,55.168038179081734,4.3644084433860595
Transform + Normalize + PCA,5,-0.04815124783811978,44.408658962013604,4.361296469227646
